,Location_x,% of owner households spending 30% or more of its income on shelter costs,% of tenant households spending 30% or more of its income on shelter costs,Apartment in a building that has fewer than five storeys,Apartment in a building that has five or more storeys,Average household size,Bachelor's degree,Bicycle,"Car, truck, van - as a driver","Car, truck, van - as a passenger",Earned doctorate,Employment rate,External migrants,Interprovincial migrants,Intraprovincial migrants,Master's degree,Median after-tax income of households in 2015 ($),Median age of the population,Movable dwelling,"No certificate, diploma or degree",Not in the labour force,Other attached dwelling,Other method,"Population, 2016",Public transit,Single-detached house,Unemployment rate,Walked,FEMALE,MALE,TRANSGENDER,UNKNOWN,OTHER,CONTACT,NEITHER,TRAVEL-RELATED,NOT-RESOLVED,RESOLVED,FATAL,youth,20s,30s,40s,50s,60s,70s,80s,90s,TOTAL,Arthritis (15 years and over),Asthma,"Body mass index, adjusted self-reported, adult (18 years and over), obese","Body mass index, adjusted self-reported, adult (18 years and over), overweight",Chronic obstructive pulmonary disease (COPD; 35 years and over),"Current smoker, daily","Current smoker, daily or occasional",Diabetes,Has a regular healthcare provider,Heavy drinking,High blood pressure,Influenza immunization in the past 12 months,"Life satisfaction, satisfied or very satisfied",Mood disorder,"Perceived health, fair or poor","Perceived health, very good or excellent","Perceived life stress, most days quite a bit or extremely stressful","Perceived mental health, fair or poor","Perceived mental health, very good or excellent","Physical activity, 150 minutes per week, adult (18 years and over)","Physical activity, average 60 minutes per day, youth (12 to 17 years old)","Sense of belonging to local community, somewhat strong or very strong",HRPOP,amenity_dense
0,Algoma Public Health Unit,11.2,44.6,5.628559301050546,2.2947543419051324,2.2,9442.5,0.27855399526016056,32.50238760567366,2.5865728131300627,297.5,49.0,520.0,0.6764882742032472,5.949117470199144,1635.0,52908.0,49.1,0.3448763750840083,11.944660606274981,43175.0,11.473771709525662,0.47309964274344735,113084.0,1.162852392911464,30.676311414523717,10.4,2.153266598280924,13,10,0,0,0,3,9,8,2,21,0,1,3,1,4,4,6,3,0,1,23,29.0,11.2,38.7,33.2,7.9,15.6,20.9,11.0,88.7,23.5,24.6,31.2,92.3,11.9,15.4,55.2,19.9,8.0,66.6,55.7,59.9,79.0,112847.0,0.01276595744680851
1,Brant County Health Unit,14.8,45.4,3.4236677708365755,2.8864038890494506,2.5,9602.5,0.3779373513261155,38.57554671231557,3.3199202626294064,302.5,60.8,842.5,0.5280007114114849,8.722201225702705,2195.0,61093.0,41.7,0.014821072601024136,11.760521108912652,38230.0,9.985697664940012,0.3779373513261155,134943.0,1.422822969698317,26.22218269936195,6.2,1.734065494319824,68,59,0,0,0,61,44,18,7,115,5,8,24,15,25,24,12,10,6,3,127,23.8,11.1,38.1,29.3,6.4,20.1,24.2,9.0,90.3,22.3,18.1,31.7,90.9,10.7,15.2,49.0,17.1,9.9,67.5,52.9,55.2,69.4,139668.0,0.08439051296194153
2,Chatham-Kent Health Unit,12.8,41.7,4.79704435428549,1.357284255502636,2.3,6015.0,0.3625957938887909,35.88228376550832,2.626369534113404,97.5,55.6,612.5,0.5193939750298897,4.821544070088787,1170.0,52667.0,45.8,0.20089766958703278,13.859489229924932,33100.0,8.325003429960212,0.37239568021010955,102042.0,0.4360949412986809,32.42782383724349,7.5,2.0579761274769215,29,120,0,0,0,130,8,11,2,146,1,1,34,49,36,14,12,2,1,0,149,23.9,9.0,35.8,35.4,4.9,11.7,14.7,8.6,92.9,18.4,25.8,32.2,93.1,10.6,11.8,61.9,14.9,8.2,69.2,53.9,62.9,76.8,103551.0,0.0
3,Durham Region Health Department,19.9,47.7,2.203257042526112,2.401441794067463,2.8,70320.0,0.15018688202743,36.563538341007835,2.870582260606755,1485.0,62.0,6480.0,0.44127073585378923,10.690364195447325,15700.0,77398.0,40.2,0.019353979642710052,8.962440892946171,170735.0,9.29765182035791,0.4513348052679984,645862.0,5.266604940374259,23.5692764088923,8.0,1.3973573302036657,997,641,0,0,0,496,1046,56,106,1353,179,61,164,181,205,304,188,139,219,177,1638,19.0,9.4,30.7,34.8,4.1,10.9,15.2,8.7,92.6,18.3,16.6,31.2,94.8,9.4,8.2,68.0,21.5,7.9,72.6,55.0,56.4,70.9,655838.0,0.12528430629264595
4,Eastern Ontario Health Unit,14.1,47.0,4.820923052643,0.6238841597538001,2.4,13295.0,0.1972756236375652,37.077953462680384,2.865428433335635,325.0,58.4,715.0,2.1145480908651524,7.68758445862637,2795.0,59350.0,45.8,0.35263017725214785,12.162042197255897,61995.0,10.697270691746974,0.40934691904794784,202762.0,1.3242126236671565,29.371874414337995,6.6,1.8420611357157655,82,77,0,0,0,86,39,33,11,136,12,6,14,19,18,33,33,15,12,9,159,26.1,11.7,35.7,36.6,8.2,15.8,18.5,10.5,91.7,20.4,19.1,31.7,92.8,8.3,13.1,57.9,18.0,7.4,69.9,53.6,61.2,68.1,196707.0,0.012136697540721816
5,Grey Bruce Health Unit,16.3,46.1,4.009828555906085,0.5741555899911716,2.3,11655.0,0.2994252270384067,34.711718330380236,2.580613296949567,292.5,57.0,640.0,0.5602647289429981,10.462905227285356,2787.5,58917.0,49.0,0.4383338375201417,12.30884631768708,52725.0,7.368330071553368,0.3951178253702686,161977.0,0.30559894305981716,33.862832377436305,6.0,2.639263599152966,57,37,0,1,0,28,55,10,4,91,0,7,10,12,10,17,19,6,9,5,95,26.9,6.2,35.7,36.2,7.5,17.4,20.6,6.1,90.6,21.0,21.0,34.4,92.9,9.0,15.4,59.8,21.5,6.6,69.1,55.6,46.6,75.2,165266.0,0.0
6,Haldimand-Norfolk Health Unit,14.5,43.5,2.5033743114580673,0.3739101885966512,2.5,6027.5,0.1276766497647102,37.29982125269033,2.72680844854631,127.5,57.7,455.0,0.4263488126071572,8.618173859117936,1127.5,62716.0,46.5,0.1960748549958049,13.086856600882793,34320.0,5.8503264874329695,0.36023054755043227,109652.0,0.26447306022689965,33.259767263707005,6.9,2.1933024477437715,146,250,0,1,0,110,150,11,35,331,31,10,52,83,80,52,33,16,41,30,397,23.3,5.4,28.6,35.5,7.5,15.7,21.4,10.2,95.3,18.4,17.4,33.5,93.3,10.5,13.4,61.7,21.4,6.2,66.7,49.4,61.4,75.7,109378.0,0.0
7,"Haliburton, Kawartha, Pine Ridge District Health Unit",17.6,50.0,3.1633376702422904,0.7901364171920283,2.3,11582.5,0.1954401031923745,34.095922002646816,2.3229452265150794,372.5,51.7,667.5,0.6826443604362223,11.719426187857026,2597.5,59980.0,52.0,0.2875761518402082,11.360653998425311,66695.0,6.217787282991686,0.37971220048804183,179083.0,0.5528162918870021,34.71574632991406,7.7,1.8762249906467952,114,71,0,0,0,44,107,28,6,160,19,6,10,18,17,29,34,25,29,17,185,27.6,10.4,32.0,38.8,7.8,13.9,19.0,10.1,92.5,21.9,23.6,37.8,94.3,12.9,12.7,56.9,17.1,9.4,69.7,58.9,66.6,73.2,186198.0,0.004165581879718825
8,Halton Region Health Department,18.7,45.1,2.077749211385227,3.9923053078788544,2.8,92155.0,0.2899184946118921,36.991047171015445,2.6539394270918804,3362.5,65.6,14620.0,0.7831446128038217,10.062359827142936,29082.5,87184.0,40.5,0.013675400689240195,6.267891982568423,130895.0,10.599347227540433,0.4567583830206225,548430.0,5.093630910052331,20.581478037306493,6.0,1.4641795671279834,394,314,0,0,0,257,333,83,54,630,24,37,83,100,115,148,90,42,55,38,708,15.4,6.9,24.2,39.2,2.7,6.5,11.7,4.5,93.7,19.3,17.8,33.7,94.2,7.2,9.1,69.8,23.4,7.0,76.1,60.9,57.6,75.9,561949.0,0.10638814670876852
9,Hamilton Public Health Services,16.8,45.4,3.3729608114475793,6.251431785545996,2.5,53575.0,0.41812794156266236,34.23806659129809,3.2314119314530925,3450.0,58.7,9915.0,0.5750423249776035,5.730401533197869,15552.5,61168.0,41.5,0.06798071210261548,11.437987621922941,162415.0,10.513729310116833,0.39484687577409544,536917.0,4.756787361919999,22.5751838738576,7.0,2.087845979918684,424,335,0,0,0,439,236,61,57,659,43,40,148,91,96,116,88,69,73,38,759,24.5,7.4,26.8,36.8,5.0,12.6,16.9,8.4,91.4,19.8,17.9,34.5,92.6,11.5,15.1,61.0,24.4,7.4,69.9,50.8,60.8,70.7,534386.0,0.2733812949640288
10,Hastings and Prince Edward Counties Health Unit,16.5,47.9,4.709020970343715,1.5882863878893163,2.3,10145.0,0.3350291599454026,34.61657773917359,2.6150887206849487,187.5,53.3,827.5,1.2889316292343962,9.66776274972081,2222.5,55535.0,47.8,0.35053976920213425,12.25493237374364,57240.0,8.409852338999876,0.41568432808040695,161180.0,0.7693262191338875,31.67886834594863,6.9,2.0629110311453034,29,15,0,0,0,18,9,14,0,39,5,1,6,3,6,7,4,8,4,5,44,25.7,9.0,35.1,32.5,7.9,21.5,25.2,9.6,88.4,27.6,21.1,36.7,92.3,11.3,14.7,58.9,21.7,6.1,67.7,52.0,44.9,72.3,161160.0,0.0
11,Huron Perth District Health Unit,14.4,37.55,4.695318642398948,0.466592697640584,2.4,4152.5,0.6576385265957838,36.87184498835355,2.920796808065073,105.0,64.0,388.75,0.5161911340039532,9.271233641700896,935.0,60507.0,44.349999999999994,0.5033322801319686,13.674472603293337,17797.5,9.19224353934442,0.49965832188283016,68046.5,0.4041354074052302,30.192588891419835,4.65,3.144908261262519,36,21,0,0,0,24,22,8,3,49,5,1,6,8,4,10,16,4,5,3,57,24.1,10.3,35.1,34.0,3.4,16.0,18.7,10.2,94.0,22.8,21.7,37.6,95.0,9.3,11.5,64.4,18.6,5.6,69.9,58.5,33.4,78.9,61222.0,0.0
12,Huron Perth District Health Unit,14.4,37.55,4.695318642398948,0.466592697640584,2.4,4152.5,0.6576385265957838,36.87184498835355,2.920796808065073,105.0,64.0,388.75,0.5161911340039532,9.271233641700896,935.0,60507.0,44.349999999999994,0.5033322801319686,13.674472603293337,17797.5,9.19224353934442,0.49965832188283016,68046.5,0.4041354074052302,30.192588891419835,4.65,3.144908261262519,36,21,0,0,0,24,22,8,3,49,5,1,6,8,4,10,16,4,5,3,57,23.9,11.0,38.7,31.3,5.5,14.1,18.5,9.0,94.8,21.0,18.9,35.9,93.8,9.9,10.7,58.2,20.4,6.9,71.1,57.4,58.2,79.5,77366.0,0.0
13,Lambton Public Health,10.7,45.1,3.1388682701874635,3.0914891264865205,2.3,9172.5,0.4579983891091142,35.22244507967593,2.4400259005985565,250.0,53.8,935.0,0.7738593471153998,7.499723621661744,2020.0,61663.0,46.1,0.15398221702806425,9.349484356986054,43555.0,7.173992008717763,0.3948261975078571,126638.0,0.919945040193307,32.600799128223755,8.1,1.8083039845859854,154,121,0,0,0,137,106,8,9,241,25,14,38,26,23,44,28,32,44,26,275,27.0,10.3,30.0,39.2,6.0,16.1,20.4,9.3,93.8,22.9,20.1,33.7,90.5,12.1,14.1,58.4,20.1,7.9,61.7,50.0,54.9,72.8,125652.0,0.0
14,"Leeds, Grenville and Lanark District Health Unit",15.9,48.6,4.5407813570939,0.5642740658457611,2.3,12817.5,0.20089338469901444,36.37351988844508,2.685471863108884,505.0,56.2,702.5,1.2511521826475385,10.346009311999243,3077.5,61510.0,48.9,0.46087305901538606,9.982628630852497,55905.0,8.87476070052705,0.4579187445345182,169244.0,0.5435938644796862,32.24634255867269,7.2,2.3634515846942876,241,110,0,0,0,213,68,24,1,298,52,12,22,25,28,29,39,54,85,57,351,28.1,11.6,34.0,39.6,6.7,16.7,21.1,7.7,94.5,19.9,21.4,39.8,92.1,15.5,14.4,57.0,20.0,8.8,67.1,55.6,69.3,67.8,171222.0,0.02763659466327828
15,Middlesex-London Health Unit,14.3,45.7,4.07770357784188,7.46170361296611,2.4,50152.5,0.4983250132813494,34.9628780794071,3.176547551621642,4555.0,59.4,11935.0,0.9340849918555691,6.390414597629992,15770.0,57589.0,40.3,0.10427505784521629,9.514275804235105,134185.0,11.247437028841384,0.41380733481733206,455526.0,3.5058372079749565,22.907583760312257,7.4,2.5267492964177674,344,237,0,0,0,275,238,56,34,490,57,21,114,65,64,100,67,49,61,40,581,20.0,6.7,29.6,35.4,4.5,11.5,14.8,5.4,88.8,19.5,17.1,39.6,91.8,12.5,12.8,59.6,23.6,11.1,59.5,52.5,56.8,65.5,454355.0,0.10357403355215172
16,Niagara Region Public Health Department,16.6,48.1,4.460936662737113,2.2583770942735684,2.4,38132.5,0.368395670346158,36.559363055049474,2.9572125174150683,1410.0,56.5,5372.5,0.6709266602364877,9.249522201979065,10522.5,58235.0,45.7,0.06474832993962776,10.176651305683563,144965.0,11.102105883613762,0.4621691137069982,447888.0,1.1163505162004788,27.61851177079984,7.4,1.91230843425142,395,328,0,0,0,272,357,87,37,625,61,32,107,93,97,86,78,59,97,74,723,23.4,6.9,29.0,39.1,5.5,12.2,18.1,7.4,91.1,22.5,21.6,32.3,91.0,12.2,12.9,57.0,21.3,9.4,66.2,53.6,69.6,68.5,444486.0,0.09482758620689656
17,North Bay Parry Sound District Health Unit,17.1,48.1,5.14456469068002,1.6354385398158615,2.3,9167.5,0.40381198513971894,32.65627523824907,2.899370053303182,285.0,51.5,452.5,0.8540623485705054,9.574382167662735,1832.5,54500.0,48.3,0.28670650944920045,12.031578097237926,44550.0,11.028105314165725,0.5532224196414149,123820.0,0.9287675658213537,30.435309319980618,9.6,2.733807139395897,13,14,0,0,0,4,14,9,0,26,1,2,3,2,3,6,8,1,2,0,27,27.3,7.7,30.7,40.1,9.1,15.6,20.8,7.6,93.3,22.0,21.9,34.0,92.2,11.5,12.5,58.1,22.7,8.1,71.7,56.4,48.2,68.5,126943.0,0.0
18,Northwestern Health Unit,11.0,38.4,3.080243280360997,0.2288928127656792,2.5,4845.0,0.3073703485710549,33.15021908312079,2.884049440847557,37.5,55.5,322.5,2.0567654175658885,5.931593747956314,775.0,60472.0,40.8,1.1902426263815316,16.290628474265908,23085.0,5.787718265646459,0.6670590543456936,76455.0,0.268131580668367,32.3196651625139,10.3,4.388202210450592,8,19,0,0,0,5,10,10,4,23,0,2,4,8,4,5,3,0,0,1,27,29.4,9.8,33.6,38.1,4.8,15.5,19.0,9.4,83.4,24.6,21.8,34.4,94.4,10.6,12.3,55.1,20.2,7.3,67.3,52.8,72.2,79.9,74026.0,0.0
19,Ottawa Public Health,14.1,42.3,4.184671439871639,7.3471248914896865,2.5,156987.5,1.2271967785683169,29.501425218064252,2.7027229532359356,13397.5,62.6,26827.5,2.3013284552305984,3.0144726800200807,66162.5,73745.0,40.1,0.08563082624113855,6.67786646514879,247765.0,15.636188871631898,0.46882877367023357,934243.0,9.707324539761068,16.937242237833196,7.2,3.4734003894061822,1208,822,0,0,0,695,396,190,65,1707,258,90,243,261,267,288,235,180,270,196,2030,16.0,10.2,21.7,43.4,2.9,8.5,12.8,5.2,88.2,19.9,13.5,40.0,95.3,9.8,7.7,66.0,22.4,9.3,67.7,66.4,61.1,69.3,936763.0,0.20623530867252252
20,Peel Public Health,27.6,45.3,1.8795087946826619,5.846234903136905,3.2,200155.0,0.13750738197524287,34.89503120693848,3.1898094002941213,5710.0,61.8,60415.0,0.5541909355133802,5.924035132412372,64972.5,75667.0,38.1,0.02713961486353478,9.862355110642781,366295.0,11.070791695133106,0.411798422862701,1381744.0,7.280654014057597,14.18931437371901,8.2,1.0287723340937251,2713,2514,1,22,1,1509,3145,136,586,4363,302,312,964,732,800,905,609,347,367,213,5251,16.3,6.0,21.7,41.7,3.2,8.1,12.5,9.7,91.4,10.7,18.5,30.6,93.2,7.5,10.6,57.7,21.8,6.0,70.2,47.0,48.2,72.5,1388271.0,0.18490169593276296
21,Peterborough Public Health,16.9,52.3,4.684018634798461,1.8229694146242659,2.3,12550.0,0.589571457507451,33.63450910037906,2.763390144390752,702.5,54.4,1115.0,0.7215920599554385,10.473031627072544,3230.0,57588.0,46.9,0.14106310946497294,9.697184525015192,47065.0,9.603142452038544,0.4014873115541538,138236.0,1.482971150785613,30.20559043953818,8.0,2.709135102288839,50,42,0,0,0,32,30,30,3,87,2,5,18,11,12,15,14,6,7,4,92,23.5,9.8,32.2,34.8,4.5,13.8,19.6,6.6,91.3,23.1,21.3,38.5,93.0,14.2,12.3,63.4,18.1,7.8,68.6,62.2,76.8,76.7,130640.0,0.04736063147508633
22,Porcupine Health Unit,11.3,37.7,5.795655633543545,0.8432203893065404,2.4,4607.5,0.3147231030510326,32.39866509898932,3.41444875951592,92.5,55.0,235.0,0.6264771202242254,6.086626049571858,737.5,60043.0,42.4,0.6888279236588639,16.72486074987233,26655.0,11.240959133501978,0.9976128549542168,84201.0,1.5261101412097244,29.11485611809836,9.6,4.227978290044061,35,30,0,0,0,33,23,7,0,57,8,4,1,11,7,10,17,8,4,3,65,26.4,14.1,39.5,31.8,6.8,18.3,23.8,14.4,86.6,25.3,24.2,31.7,88.8,13.5,20.5,54.7,20.1,10.7,65.3,48.1,68.2,71.4,82838.0,0.0
23,"Region of Waterloo, Public Health",14.6,42.3,4.924750632528207,4.104426015688942,2.6,60392.5,0.5419000885726352,39.01493775623465,3.237385873972726,4527.5,64.3,13032.5,0.7759448682061613,8.034135968338084,19292.5,67887.0,38.5,0.039241040896639094,10.656278379681362,135650.0,12.741192254939698,0.3942790299614691,535154.0,2.858055811971881,21.20324243115066,6.3,2.129293623891441,681,504,1,3,1,321,706,53,67,1008,115,34,179,172,173,193,131,96,128,84,1190,17.0,6.9,27.2,33.8,3.3,12.5,16.5,8.6,90.1,19.2,18.0,29.9,93.7,9.8,12.1,59.4,19.9,7.7,64.6,58.7,60.3,68.9,534525.0,0.14413793103448275
24,Renfrew County and District Health Unit,14.3,38.8,4.3390962709835605,0.05791897135906867,2.3,7067.5,0.3668201519407682,36.47929879432008,2.736671396715994,390.0,56.6,395.0,2.246773430637205,9.14637089378626,1610.0,59589.0,45.0,0.3378606662612339,10.661917311015223,32645.0,8.822989970364793,0.3909530566737135,103593.0,0.20754298070332935,32.62286061799543,7.3,2.3022791115229797,21,8,0,0,0,9,11,6,2,26,1,0,3,8,3,5,2,4,3,1,29,28.0,8.0,34.1,38.3,7.2,15.2,19.4,5.7,87.1,21.3,19.4,37.4,94.2,9.6,11.9,60.2,17.0,8.6,73.3,56.4,70.8,81.2,100667.0,0.0
25,Simcoe Muskoka District Health Unit,19.6,48.9,3.200376122861866,1.1661289516500724,2.5,44595.0,0.24988477535358697,38.56832682707419,3.1661326536467445,995.0,60.3,3777.5,0.8560867303780294,12.627973397451916,8912.5,66178.0,44.0,0.1850998335952496,10.913023439191928,155660.0,8.476646879494455,0.45349459230836153,540249.0,1.2188824042247186,28.850585563323577,7.0,1.9009752910232134,285,227,0,0,0,178,273,52,32,446,34,33,78,74,70,80,66,53,30,28,512,20.2,8.7,32.9,32.8,5.5,14.3,19.5,6.1,92.8,23.4,17.2,36.1,93.3,10.5,12.0,64.2,22.0,8.8,66.4,59.8,56.9,75.2,537217.0,0.02824384787472036
26,Southwestern Public Health,13.15,41.25,3.895616493194556,1.3510808646917534,2.5,5767.5,0.3127502001601281,38.74849879903923,3.242594075260208,116.25,61.4,556.25,0.5504403522818254,10.583466773418735,1103.75,61456.5,42.4,0.2827261809447558,13.677191753402724,27875.0,8.464271417133705,0.4103282626100881,99920.0,0.35028022417934346,29.566152922337867,5.6,2.1342073658927143,47,32,0,0,0,48,15,16,5,70,4,3,7,12,10,22,12,10,2,1,79,22.9,6.3,35.9,33.2,5.2,15.3,19.3,10.3,94.2,18.4,23.0,34.9,91.9,12.9,14.2,58.9,17.8,10.8,67.3,58.0,63.7,72.7,91348.0,0.0
27,Southwestern Public Health,13.15,41.25,3.895616493194556,1.3510808646917534,2.5,5767.5,0.3127502001601281,38.74849879903923,3.242594075260208,116.25,61.4,556.25,0.5504403522818254,10.583466773418735,1103.75,61456.5,42.4,0.2827261809447558,13.677191753402724,27875.0,8.464271417133705,0.4103282626100881,99920.0,0.35028022417934346,29.566152922337867,5.6,2.1342073658927143,47,32,0,0,0,48,15,16,5,70,4,3,7,12,10,22,12,10,2,1,79,21.7,9.4,35.4,35.9,5.5,13.2,16.1,6.8,94.3,20.8,17.3,28.8,90.2,9.8,12.7,60.8,28.0,6.3,65.1,51.3,64.7,69.9,108953.0,0.0
28,Sudbury & District Health Unit,12.1,40.7,6.111031927023945,2.2703208991692456,2.3,16367.5,0.19089021013194332,36.23859749144812,2.7564546343052614,647.5,55.7,1007.5,0.6133938752239778,5.218938345007331,3507.5,61022.0,44.5,0.3257859586251832,11.81864920996905,63350.0,11.92427512624206,0.5726706303958299,196448.0,1.8936308845088776,28.40446326763317,8.8,2.2703208991692456,40,24,0,0,0,17,22,20,0,62,2,4,12,5,6,18,6,11,2,0,64,24.1,8.5,31.9,38.0,7.3,18.6,23.5,9.4,87.4,23.9,22.9,31.9,92.7,12.6,15.6,56.2,23.1,8.5,64.6,49.9,58.0,72.4,193636.0,0.060881735479356186
29,Thunder Bay District Health Unit,10.3,41.8,5.2803455268494375,1.6822048405361987,2.3,13945.0,0.4477100945458376,35.49090095072555,2.6500487213926416,685.0,54.9,1027.5,1.1505491032630166,4.990650759790366,2947.5,59910.0,44.1,0.44441810855652997,13.423072871401859,50120.0,9.500671565141818,0.6353532959363725,151884.0,1.4550578072739722,30.753733112111874,8.4,2.5973769455637195,37,49,0,1,0,46,29,9,6,80,1,8,14,12,21,16,9,5,2,0,87,25.1,8.3,39.1,34.7,4.3,14.8,18.3,7.9,86.6,23.6,23.3,35.6,91.7,11.4,13.0,58.8,20.4,6.6,66.0,57.2,64.6,75.2,149563.0,0.08517241379310345
30,Timiskaming Health Unit,13.6,42.1,5.673394051257223,0.48412962570728313,2.2,1715.0,0.09077430482011559,32.482072074798026,2.9955520590638143,22.5,52.1,95.0,0.7261944385609247,9.962479954007685,275.0,52703.0,47.3,0.5446458289206935,16.195648884988955,11745.0,8.547913703894219,0.7564525401676299,33049.0,0.8018396925776877,35.114526914581376,8.9,2.9955520590638143,12,6,0,0,0,7,9,2,0,18,0,2,6,2,0,3,2,2,0,1,18,27.4,11.0,36.7,37.0,8.4,13.9,19.8,9.9,85.5,22.7,25.6,34.7,90.2,14.9,19.1,55.8,23.7,11.8,60.2,42.8,71.6,74.6,30573.0,0.0
31,Toronto Public Health,27.4,46.8,6.063543653084617,18.058472578600373,2.4,484115.0,1.257701154390642,21.059492870586194,2.092751753478127,26990.0,59.3,138390.0,1.0757545749314221,3.4985361903461416,179265.0,58264.0,39.3,0.003477852122459932,9.83188795019423,811110.0,12.80892936701993,0.4980650329059724,2731571.0,16.949952975778405,9.872523906572445,8.2,3.9413216789898557,6487,5500,4,209,6,5988,2768,370,1053,10205,948,486,1588,1687,1773,1963,1361,941,1384,1015,12206,15.3,7.8,20.0,34.7,2.2,9.2,13.3,7.2,86.1,14.0,15.8,35.8,92.7,7.3,10.1,60.0,22.2,7.8,70.0,56.5,62.4,67.1,2694831.0,0.6615026489003051
32,Wellington-Dufferin-Guelph Public Health,17.2,41.4,4.011094666755724,2.1654989611932742,2.6,30495.0,0.5114936669701646,39.99142237424462,3.2306713398321736,2520.0,66.6,3802.5,0.6969320926242965,10.70709165755587,8997.5,72092.0,40.4,0.14588994624922222,10.373126720358854,68030.0,10.634146684431258,0.43239670816034537,284461.0,1.9264503745680426,24.73801329531992,5.4,2.587349408178977,255,169,0,0,0,207,175,25,41,349,34,20,46,52,78,62,61,47,35,23,424,17.7,8.1,28.8,38.2,4.7,9.6,14.9,5.6,91.4,20.3,16.0,31.0,92.9,12.4,10.7,66.4,24.5,10.7,66.8,56.7,49.7,74.4,267523.0,0.10728092783505154
33,Windsor-Essex County Health Unit,12.7,44.0,3.2923677726448983,3.4239622211137655,2.5,37952.5,0.4023030281762513,35.6583356936782,2.6130897624532214,2027.5,55.7,8577.5,0.8390712690467298,5.655428083007272,10792.5,59274.0,42.4,0.18673878877963068,10.730587312289918,129240.0,8.39697909277534,0.3534250901735292,398953.0,1.1856033166814135,27.859171381090004,7.3,1.4162069216173334,532,653,0,4,0,342,398,137,210,910,69,32,253,241,187,158,100,64,78,76,1189,22.1,7.1,32.3,35.3,4.7,14.2,17.3,8.1,87.6,18.8,21.0,33.6,93.2,9.3,14.5,58.4,20.3,7.5,73.3,51.1,49.0,73.0,397008.0,0.07836772548110364
34,York Region Public Health Services,28.1,51.8,0.9982800391743828,3.3164881084845694,3.1,187837.5,0.13109182824898258,35.659229720634755,2.967810874585214,6817.5,62.4,33092.5,0.4574699367245423,7.485073100587527,54542.5,82804.0,41.1,0.009910722410576002,8.793738946165856,301340.0,8.328610723942234,0.41534936647959425,1109909.0,5.885167162352949,20.51744782680382,6.4,1.0834221544288767,1509,1231,0,7,0,929,1302,165,188,2330,229,104,361,321,378,506,356,230,298,193,2747,17.1,5.1,16.4,37.9,2.0,6.2,10.5,7.7,93.3,12.1,17.6,31.6,94.4,5.0,8.0,59.3,20.8,6.7,71.2,48.7,53.6,70.3,1131052.0,0.07674576271186441
35,"Kingston, Frontenac and Lennox & Addington Public Health",,,,,,,,,,,,,,,,,,,,,,,,,,,,35,27,0,0,0,29,14,19,0,62,0,4,9,8,8,16,9,8,0,0,62,26.3,11.1,30.0,37.9,7.9,12.2,18.1,7.8,91.1,25.2,18.3,44.2,93.0,12.1,14.1,60.7,19.6,8.3,70.1,58.4,55.5,74.6,193986.0,0.12266355140186914
